0,B,Baseline,9868950,0,2,baseline,0.7,0.55,
1,A,Ala,26367,0.587,2,Alanine,,,37.26
2,R,Arg,16720896,0.609,2,Arginine,,,
3,N,Asn,12397311,0.681,2,Asparagine,,,
4,D,Asp,6618880,1,2,Aspartate,183,,51.02
5,C,Cys,5898210,0.683,2,Cysteine,,431,51.6456
6,Q,Gln,16472575,0.86,2,Glutamine,168,,
7,E,Glu,15698688,0.435,2,Glutamate,,,21.11
8,G,Gly,6291695,0.333,2,Glycine,,,
9,H,His,16772608,0.842,2,Histidine,609,1088,
10,I,Ile,16761088,0.287,2,Isoleucine,128,161,
11,L,Leu,16771535,0.85,2,Leucine,,332,
12,K,Lys,8016737,0.666,2,Lysine,,548,21.2
13,M,Met,11776947,0.629,2,Methionine,,431,
14,F,Phe,76367,0.525,2,Phenylalanine,690,,43.26
15,P,Pro,14445056,0.841,2,Proline,,670,37.13
16,S,Ser,12447311,0.944,2,Serine,,,29.59
17,T,Thr,6668880,0.681,2,Threonine,,,38.79
18,W,Trp,9567230,0.888,2,Tryptophan,953,,
19,Y,Tyr,16522575,0.255,2,Tyrosine,874,,19.6578
20,V,Val,15748688,0.741,2,Valine,,,31.46
21,X,pSer,14011892,0.822335301,2,,,,42.47
22,U,pThr,12421375,,2,,,,
23,J,pTyr,10027263,,2,,539,,
24,Z,m1Lys,10927263,0.466641882,2,,,,24.1
